sequence_id,domain,method,window,mean_KL,sum_KL,mean_NLL,delta_NLL_native,max_KL,p95_KL,p99_KL,n_KL,n_NLL,nonfinite
rtpa_v02_code_confirm0,code,B_JOINT8_P_PRE,primary,0.0012096983136592636,1.219375900168538,1.1489764098027104,0.003302994791424485,0.04373112291320384,0.004378815618957116,0.008210753312093743,1008,1007,0
rtpa_v02_code_confirm0,code,B_JOINT8_P_PRE,early,0.001139770405144989,0.5653261209519145,1.305476673455857,-0.0004247808715072132,0.04373112291320384,0.0033908046787424263,0.006720064560149227,496,496,0
rtpa_v02_code_confirm0,code,B_JOINT8_P_PRE,late,0.0012774409750324679,0.6540497792166236,0.9970700873526895,0.00692134455427007,0.031238862053031266,0.005199446622472686,0.010428046213688395,512,511,0
rtpa_v02_code_confirm1,code,NATIVE_REFERENCE,primary,0.0,0.0,1.4170182806709368,0.0,0.0,0.0,0.0,1008,1007,0
rtpa_v02_code_confirm1,code,NATIVE_REFERENCE,early,0.0,0.0,1.8366842021946708,0.0,0.0,0.0,0.0,496,496,0
rtpa_v02_code_confirm1,code,NATIVE_REFERENCE,late,0.0,0.0,1.009671319661598,0.0,0.0,0.0,0.0,512,511,0
rtpa_v02_code_confirm1,code,B_U8_P_STORE,primary,0.002134177494802727,2.151250914761149,1.4192525169174088,0.00223423624647201,0.04794709939436965,0.006892873218550575,0.015693150610980696,1008,1007,0
rtpa_v02_code_confirm1,code,B_U8_P_STORE,early,0.002150438057507558,1.0666172765237487,1.8385050753959593,0.001820873201288542,0.040435518466940226,0.006440178106363791,0.013198103228991892,496,496,0
rtpa_v02_code_confirm1,code,B_U8_P_STORE,late,0.0021184250746824227,1.0846336382374004,1.0123067850086787,0.00263546534708059,0.04794709939436965,0.007175619941160319,0.018244275680393836,512,511,0
rtpa_v02_code_confirm1,code,B_DAMP8_P_STORE,primary,0.0015426456678263665,1.5549868331689773,1.4174991055519215,0.0004808248809846649,0.05822160473664351,0.004760036801329005,0.010158448615883308,1008,1007,0
rtpa_v02_code_confirm1,code,B_DAMP8_P_STORE,early,0.001609221722244563,0.7981739742333033,1.8364319864372145,-0.00025221575745626446,0.05822160473664351,0.004489904606878656,0.0070071969077549505,496,496,0
rtpa_v02_code_confirm1,code,B_DAMP8_P_STORE,late,0.0014781501151087382,0.756812858935674,1.0108636673540639,0.0011923476924657894,0.03215181992321228,0.0049881586896646036,0.013672059939511089,512,511,0
